"nestid"	"year"	"clutchno"	"hatchingsuc"	"chickno"
"5795"	1998	1	0	0
"1187"	1998	1	1	4
"7190"	1998	2	1	4
"1751"	1998	1	0	0
"3499"	1998	1	1	4
"5355"	1998	2	1	3
"4491"	1998	1	1	2
"2643"	1998	2	1	3
"3837"	1998	1	1	1
"4211"	1998	1	0	0
"9098"	1998	1	1	1
"908"	1998	2	0	0
"1781"	1998	1	1	3
"2683"	1998	2	1	5
"6678"	1998	1	1	1
"6919"	1998	1	1	4
"8064"	1998	2	1	4
"186"	1998	1	1	1
"9809"	1998	1	1	4
"5269"	1998	1	1	2
"5917"	1998	2	1	4
"2659"	1998	1	1	5
"9317"	1998	1	1	4
"9614"	1998	2	1	1
"9988"	1999	1	0	0
"7931"	1999	2	0	0
"9280"	1999	3	0	0
"8502"	1999	1	0	0
"8793"	1999	2	1	2
"5847"	1999	3	1	1
"6353"	1999	1	1	1
"1770"	1999	2	0	0
"619"	1999	1	0	0
"7869"	1999	1	0	0
"3668"	1999	2	0	0
"656"	1999	1	1	3
"1746"	1999	2	1	3
"2864"	1999	1	1	1
"4809"	1999	1	1	3
"6084"	1999	2	1	1
"9341"	1999	1	1	3
"832"	1999	1	1	3
"556"	1999	2	1	3
"495"	1999	1	1	4
"7049"	1999	2	1	1
"8205"	1999	3	1	2
"4409"	1999	1	1	2
"9096"	1999	2	0	0
"2031"	1999	1	1	1
"1216"	1999	2	1	1
"2236"	1999	1	1	4
"5491"	1999	2	1	4
"3833"	1999	1	0	0
"3994"	1999	1	1	2
"5227"	1999	1	0	0
"2780"	1999	1	1	2
"2715"	1999	1	1	3
"5522"	1999	1	1	5
"1578"	1999	1	1	3
"2800"	1999	1	0	0
"9932"	1999	1	1	2
"7752"	1999	1	1	1
"3347"	1999	1	1	1
"427"	1999	2	1	3
"2483"	1999	1	0	0
"6140"	1999	1	0	0
"1362"	1999	2	0	0
"5953"	1999	1	0	0
"3770"	2000	1	1	6
"2766"	2000	2	0	0
"6474"	2000	1	1	4
"7831"	2000	2	1	5
"390"	2000	1	1	1
"8149"	2000	2	1	5
"9315"	2000	1	1	2
"5596"	2000	2	1	1
"7723"	2000	1	0	0
"6477"	2000	1	0	0
"2793"	2000	2	1	2
"557"	2000	3	1	2
"9832"	2000	1	0	0
"7941"	2000	1	1	1
"7694"	2000	2	1	2
"1047"	2000	3	1	1
"5015"	2000	1	1	2
"4012"	2000	3	1	2
"8019"	2000	1	1	1
"8102"	2000	1	1	5
"3741"	2000	2	1	2
"9722"	2000	1	0	0
"6502"	2000	1	0	0
"8090"	2000	2	0	0
"7918"	2000	3	0	0
"7397"	2000	1	1	3
"8916"	2000	1	1	4
"5249"	2000	2	1	1
"5172"	2000	1	1	4
"1218"	2000	1	0	0
"8469"	2000	1	1	5
"9070"	2000	2	1	4
"6513"	2000	1	1	2
"972"	2000	2	0	0
"5407"	2000	3	1	2
"9022"	2000	1	1	1
"7538"	2000	2	1	4
"8672"	2000	3	1	3
"4785"	2000	1	1	4
"911"	2000	1	1	5
"3141"	2001	1	1	1
"4166"	2001	1	1	4
"6167"	2001	2	1	1
"3271"	2001	1	1	2
"8626"	2001	2	1	4
"6749"	2001	1	0	0
"4306"	2001	2	1	2
"1994"	2001	1	1	3
"9167"	2001	2	0	0
"4750"	2001	1	1	4
"1514"	2001	2	1	3
"4052"	2001	1	1	1
"677"	2001	2	1	4
"8816"	2001	3	0	0
"7852"	2001	1	1	5
"3288"	2001	2	1	3
"4882"	2001	1	1	4
"4772"	2001	2	1	3
"5736"	2001	3	1	4
"2289"	2001	1	0	0
"5211"	2001	1	1	2
"3280"	2001	2	1	2
"8567"	2001	1	1	3
"5274"	2001	1	0	0
"9016"	2001	1	1	4
"7417"	2001	2	1	4
"8089"	2001	1	1	4
"9861"	2001	1	1	3
"5891"	2001	1	0	0
"1677"	2001	1	1	2
"2428"	2001	2	0	0
"7662"	2001	3	1	2
"3773"	2001	1	0	0
"3392"	2001	1	0	0
"3793"	2001	2	0	0
"7399"	2001	3	0	0
"5176"	2001	1	0	0
"1190"	2001	1	1	3
"7085"	2001	1	1	1
"3956"	2001	2	1	3
"4337"	2001	1	1	1
"3678"	2001	1	1	2
"8217"	2001	2	0	0
"257"	2001	1	1	1
"5943"	2001	2	0	0
"6420"	2001	3	0	0
"290"	2001	4	0	0
